ブルマ泥棒<>9078A408B588A6BC6EA150B950E56E24<>116.65.225.60:7144<>http://jbbs.shitaraba.net/game/43683/<><>&lt;2M Over&gt;<>0<>1<>500<>WMV<><><><><>%E3%83%96%E3%83%AB%E3%83%9E%E6%B3%A5%E6%A3%92<>0:01<>click<><>0
黄色ch<>9AC92994F0A480734A7D438D96AF0CA6<>110.54.28.179:7144<>http://jbbs.shitaraba.net/game/48946/<>PS3 Game<>シャイニングレゾナンス[初見] - &lt;Open&gt;<>107<>106<>1310<>WMV<><><><><>%E9%BB%84%E8%89%B2ch<>0:54<>click<>虹色の旋律を竜と奏でるRPG 6日目<>0
おぱんつｃｈ<>C72CBB59E5BFBC9CE2932F9B1B98E796<>219.107.133.19:7144<>http://jbbs.livedoor.jp/bbs/read.cgi/internet/7232/1417282363/<>Game<>待機中 - &lt;Free&gt;<>-1<>-1<>1279<>WMV<><><><><>%E3%81%8A%E3%81%B1%E3%82%93%E3%81%A4%EF%BD%83%EF%BD%88<>0:55<>click<>栄冠なんてなかった<>0
ぺんぎんｃｈ<>908F79E31711A7A7FE1D2709F856BFD2<>182.167.112.78:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/internet/18148/1417447318/<>game<>夜のアイドルマスター　10月分EX等 - &lt;Open&gt;<>-1<>-1<>1215<>WMV<><><><><>%E3%81%BA%E3%82%93%E3%81%8E%E3%82%93%EF%BD%83%EF%BD%88<>1:00<>click<><>0
おるｃｈ<>901E5B32442DF0D10782C0B419011A8E<>61.89.62.232:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/internet/972/1417782338/<><>&lt;Free&gt;<>8<>8<>1608<>WMV<><><><><>%E3%81%8A%E3%82%8B%EF%BD%83%EF%BD%88<>1:01<>click<>ひげ<>0
どでぃch<>24924532F3B0E18E3A1C4E2032DF3CC4<>153.220.200.74:7144<>http://jbbs.shitaraba.net/netgame/6653/<> game LoL League of Legends<>soloq P4 新モード一回だけやる - &lt;Free&gt;<>14<>18<>1592<>FLV<><><><><>%E3%81%A9%E3%81%A7%E3%81%83ch<>1:04<>click<><>0
忽者<>790729314C77C86477A1E1CBD98CAE95<>101.141.22.186:7146<><><>18xお絵かき：本スレ-作業 - &lt;Free&gt;<>-1<>-1<>390<>WMV<><><><><>%E5%BF%BD%E8%80%85<>1:04<>click<><>0
ひびのｃｈ<>B89034A275DE0466BEF7ED645F098881<>121.102.96.167:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/game/58464/1418661752/<>game<>グランブルーファンタジー - &lt;Free&gt;<>114<>109<>976<>WMV<><><><><>%E3%81%B2%E3%81%B3%E3%81%AE%EF%BD%83%EF%BD%88<>1:05<>click<><>1
スコットch<>A50144B342772EE80EB05F134072908A<>122.26.1.116:7144<>http://jbbs.livedoor.jp/bbs/read.cgi/game/32713/1418565241/<>Steam<>Northmark: Hour of the Wolf - &lt;Free&gt;<>9<>10<>650<>FLV<><><><><>%E3%82%B9%E3%82%B3%E3%83%83%E3%83%88ch<>1:05<>click<>GMI Indie Gala: Every Monday Bundle #38 で購入可<>0
ぱゎーch<>90501CF93F9ED649EB9B5CC80FBA829C<>183.77.107.18:7144<>http://jbbs.shitaraba.net/computer/43550/<>Game<>FF11 らぐなろく鯖 - &lt;Open&gt;<>16<>17<>1277<>WMV<><><><><>%E3%81%B1%E3%82%8E%E3%83%BCch<>1:09<>click<>ウォンテッドに挑戦<>0
たてハゲ<>9069F5C138F8A26B54C7A26B90F587A6<>121.87.229.241:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/netgame/8460/1418488266/<>game<>&lt;Free&gt;<>-1<>-1<>1108<>WMV<><><><><>%E3%81%9F%E3%81%A6%E3%83%8F%E3%82%B2<>1:14<>click<><>0
らじｃｈ<>904B82110FE60CFBB084330B9D714D57<>182.20.137.101:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/radio/28871/1402157762/<><>PS3 テスト　オメ４　つよキャラ - &lt;Free&gt;<>7<>10<>765<>WMV<><><><><>%E3%82%89%E3%81%98%EF%BD%83%EF%BD%88<>1:15<>click<><>0
かたぎりch<>90E9A305E01AD3EF386C1C856514E1F1<>110.4.193.167:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/computer/24956/1417266209/<>模型<>TF反省会 - &lt;Open&gt;<>-1<>-1<>798<>WMV<><><><><>%E3%81%8B%E3%81%9F%E3%81%8E%E3%82%8Ach<>1:18<>click<><>0
MOXch<>3ED1A2D5D5A7E71133AAB477D447ED3F<>126.8.169.104:7144<>http://jbbs.livedoor.jp/bbs/read.cgi/netgame/11756/1418569054/<>game Minecraft<>2回目。セーブ消えたので一からやり直し・・・ - &lt;Free&gt;<>74<>68<>1076<>WMV<><><><><>MOXch<>1:28<>click<><>0
にゃつこ<>C65F572CEEC021258E6BF47ECECFE3ED<>114.191.2.174:7146<>http://jbbs.shitaraba.net/bbs/read.cgi/internet/9600/1418738873/<>game PS<>WILD ARMS - &lt;Free&gt;<>-1<>-1<>496<>FLV<><><><><>%E3%81%AB%E3%82%83%E3%81%A4%E3%81%93<>1:33<>click<>初配信です。よろしくおながいしにゃす。<>0
BOMBER<>6EE37172AF10EBD59E383B0538F9DF4E<>114.167.86.136:7144<>http://jbbs.shitaraba.net/game/53278/<>Game<>PS3 戦場のヴァルキュリア - &lt;Open&gt;<>-1<>-1<>1077<>WMV<><><><><>BOMBER<>1:35<>click<>19日目　ネタバレ× 超短時間 第７小隊大勝利！希望の未来へレディ・ゴー！<>0
はべる<>558EF5D8BFAB8A2EF7CF942363193F75<>122.29.126.134:7144<>http://jbbs.livedoor.jp/bbs/read.cgi/radio/22152/1416110322/<>お絵かき 18x<>けも - &lt;Free&gt;<>13<>11<>592<>WMV<><><><><>%E3%81%AF%E3%81%B9%E3%82%8B<>1:39<>click<><>1
くんくん<>6447D5E60C3EDD46CCFC8B4C43FA2B84<>121.119.78.99:7344<>http://jbbs.livedoor.jp/bbs/read.cgi/netgame/543/1283930903/<>ﾘﾚ2<>いつもの - &lt;Over&gt;<>5<>5<>888<>WMV<><><><><>%E3%81%8F%E3%82%93%E3%81%8F%E3%82%93<>1:41<>click<><>0
さだきち<>EEEDF66DEE0E1419EF8867104C2B9C49<>118.19.205.48:7145<>http://jbbs.shitaraba.net/internet/8020/<>game<>The Elder Scrolls V: Skyrim - &lt;Free&gt;<>-1<>-1<>1323<>WMV<><><><><>%E3%81%95%E3%81%A0%E3%81%8D%E3%81%A1<>1:44<>click<>静かに冒険<>0
ビゴーテ<>909346534210B198C76238E5B5F52D01<>114.188.119.15:7144<>http://jbbs.livedoor.jp/bbs/read.cgi/game/55917/1417879185/<><>pso2 s3 ひたすられべりんぐ - &lt;Free&gt;<>6<>7<>1076<>WMV<><><><><>%E3%83%93%E3%82%B4%E3%83%BC%E3%83%86<>1:44<>click<><>0
RPch<>EB47BBD875A3B83ED768411F0DF4A24A<>122.16.136.44:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/game/57672/1396685217/<>fps game<>payday2 - &lt;Free&gt;<>-1<>-1<>928<>FLV<><><><><>RPch<>1:46<>click<>レベル上げ<>0
nimp<>225E88937386ECA2B25D445F04ECEB84<>180.198.210.17:7146<>http://jbbs.shitaraba.net/bbs/read.cgi/netgame/12108/1417969437/<>FPS Game<>Lichdom: Battlemage - &lt;Open&gt;<>-1<>-1<>1242<>WMV<><><><><>nimp<>1:47<>click<>GAMES AND STUFF<>0
上州アリス<>3C676E5CA37F477CBCFA11C90DB0AC57<>211.3.0.247:7144<><>泥沼配信　本スレ<>Spintires - &lt;Open&gt;<>12<>14<>542<>WMV<><><><><>%E4%B8%8A%E5%B7%9E%E3%82%A2%E3%83%AA%E3%82%B9<>1:47<>click<><>0
ジンガー<>F99DD1C14397AD180E96985106C361CA<>126.23.203.162:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/radio/2970/1401197811/<>game<>ガンダムEXVSFB　シャフラン - &lt;Free&gt;<>-1<>-1<>1648<>WMV<><><><><>%E3%82%B8%E3%83%B3%E3%82%AC%E3%83%BC<>1:49<>click<><>1
なごやかch<>90A7BD51587788DC0216CEACF585350B<>180.199.200.48:7144<>http://jbbs.shitaraba.net/otaku/10170/<>お絵かき<>R-18 冬コミ作業 - &lt;Free&gt;<>-1<>-1<>758<>WMV<><><><><>%E3%81%AA%E3%81%94%E3%82%84%E3%81%8Bch<>1:53<>click<><>0
やさいｃｈ<>90631F652C53F361BDB4E3C2294BEC1C<>115.39.210.172:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/computer/40822/1418582891/<>ネトゲ？<>新規歓迎！マビノギ英雄伝 - &lt;Open&gt;<>23<>24<>1332<>WMV<><><><><>%E3%82%84%E3%81%95%E3%81%84%EF%BD%83%EF%BD%88<>1:54<>click<>釣りイベント　今年最後のイグナフ川<>0
だいちゃ_FLV<>6A38B4C031596F6833ABBBC12C72D493<>210.153.155.251:7156<>http://jbbs.shitaraba.net/bbs/read.cgi/game/37056/1415190227/<>Game<>ぷよぷよテトリスWiiU - &lt;Free&gt;<>7<>11<>968<>FLV<><><><><>%E3%81%A0%E3%81%84%E3%81%A1%E3%82%83_FLV<>2:05<>click<>短時間<>0
だいちゃ<>905D4D9BBEAABE1597640C7E0A884AE8<>210.153.155.251:7146<>http://jbbs.shitaraba.net/bbs/read.cgi/game/37056/1415190227/<>Game<>ぷよぷよテトリスWiiU - &lt;Free&gt;<>8<>8<>1309<>WMV<><><><><>%E3%81%A0%E3%81%84%E3%81%A1%E3%82%83<>2:05<>click<>短時間<>0
そらりねった<>996EE77C13A07740FBBAFE984254681E<>210.165.106.80:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/radio/26535/1417614413/<>激闘<>艦とか城など - &lt;Open&gt;<>22<>22<>907<>WMV<><><><><>%E3%81%9D%E3%82%89%E3%82%8A%E3%81%AD%E3%81%A3%E3%81%9F<>2:05<>click<>リクエスタでBGM募集中<>0
しるばば<>906899982B87E2ED4BC0CEB7F7DA807C<>124.26.153.248:7144<>http://jbbs.livedoor.jp/bbs/read.cgi/internet/20891/1400919695/<>game<>マイクないよ　かくりよの門 ECO - &lt;Open&gt;<>-1<>-1<>907<>WMV<><><><><>%E3%81%97%E3%82%8B%E3%81%B0%E3%81%B0<>2:07<>click<>食え商家<>0
あいぜん<>906123A74C661CD269509E05A134C682<>153.144.33.122:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/game/49331/1417270587/<>18xGame<>月に寄りそう乙女の作法2　Trial Edition - &lt;Open&gt;<>-1<>-1<>1076<>WMV<><><><><>%E3%81%82%E3%81%84%E3%81%9C%E3%82%93<>2:08<>click<>つり乙再び・・・　2回目<>0
STRIDER<>2012A2B95657138CB263A6FFF182E1EB<>211.13.91.243:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/game/22613/1418158098/<>PS3<>電撃FC - &lt;Free&gt;<>23<>23<>774<>WMV<><><><><>STRIDER<>2:12<>click<>スマブラと迷ったけどこっちで<>0
宮下<>965B74B80783870E1749E4C19D8EF9C6<>157.192.59.143:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/netgame/14255/1416645295/<>DQ10<>1年半ぶりにドラクエ10再開＠浦島☆太郎状態 - &lt;Free&gt;<>-1<>-1<>1514<>WMV<><><><><>%E5%AE%AE%E4%B8%8B<>2:14<>click<>マイクあり 1251<>0
サイハテ<>905EF6C1945E5466F8B3A662E4B6B1A1<>210.252.40.50:7144<><>新・世界樹の迷宮2 ファフニールの騎士<>&lt;Over&gt;<>31<>30<>666<>WMV<><><><><>%E3%82%B5%E3%82%A4%E3%83%8F%E3%83%86<>2:15<>click<>20F～　世界樹を登ってたはずが坑道エリアでボルオプトしていた<>0
Dきゃっとch<>865ED87572080B837139E3E99A2591D7<>118.243.87.238:7147<>http://jbbs.shitaraba.net/game/57563/<>Game<>リング☆ドリーム 烈伝 - &lt;Free&gt;<>15<>14<>707<>WMV<><><><><>D%E3%81%8D%E3%82%83%E3%81%A3%E3%81%A8ch<>2:17<>click<>限定レスラー確保まであといくつだよ<>0
NIAｃｈ<>EEF247B1D7E5B82E7852EBC882EFE039<>180.3.253.31:7144<>http://jbbs.livedoor.jp/bbs/read.cgi/radio/20764/1404639286/<>WiiU<>スマブラWiiU - &lt;Open&gt;<>-1<>-1<>912<>FLV<><><><><>NIA%EF%BD%83%EF%BD%88<>2:18<>click<>新ムーブ会得コング<>0
ばとーch<>183CAD3B96462B20CA808BCFA692D0D6<>122.220.144.228:7144<>http://jbbs.livedoor.jp/bbs/read.cgi/internet/20894/1413904752/<>PCgame<>ウル４　steam版　ごうけん - &lt;Open&gt;<>33<>34<>1148<>WMV<><><><><>%E3%81%B0%E3%81%A8%E3%83%BCch<>2:18<>click<>オメガ来たので少しだけ<>1
atamiso<>12ACE1C7A0CBE147133820F7BD5B2D53<>219.117.212.75:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/netgame/4221/1417794247/l50<>game<>12/28 年忘れVF大会(仮) - &lt;Open&gt;<>27<>33<>935<>WMV<><><><><>atamiso<>2:20<>click<><>0
こがまんch<>09748D58C884315CD7C7BA77501B5FA7<>114.152.240.30:7144<>http://jbbs.shitaraba.net/internet/9909/<>作業<>お手元 - &lt;Free&gt;<>-1<>-1<>209<>WMV<><><><><>%E3%81%93%E3%81%8C%E3%81%BE%E3%82%93ch<>2:28<>click<><>1
さんだらなんとかHD<>FF1ABEB9BF2917B0FAD5F2894C9B746D<>222.2.38.183:7144<>http://jbbs.shitaraba.net/netgame/2161/<> FPS game Drum練習<>BF4その他　 - &lt;Free&gt;<>2<>4<>1128<>FLV<><><><><>%E3%81%95%E3%82%93%E3%81%A0%E3%82%89%E3%81%AA%E3%82%93%E3%81%A8%E3%81%8BHD<>2:29<>click<>FLV配信　不具合あったら書き込んで<>0
†薔薇十字団†<>9150D86C42667F64886F8342EFD89D28<>36.244.232.177:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/game/47591/1418119369/<>MMORPG<>TERA　エリーヌ鯖　まったりてらしこ - &lt;Open&gt;<>19<>21<>1276<>WMV<><><><><>%E2%80%A0%E8%96%94%E8%96%87%E5%8D%81%E5%AD%97%E5%9B%A3%E2%80%A0<>2:32<>click<>えりしこてらしこ！<>1
いめちぇそ_bd<>901F9091DB3B02430B3E18B231609A80<>218.110.3.113:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/game/41138/1418402044/<>ps3<>&lt;Free&gt;<>-1<>-1<>657<>WMV<><><><><>%E3%81%84%E3%82%81%E3%81%A1%E3%81%87%E3%81%9D_bd<>2:36<>click<>フィギュア調べ<>1
デモタ_MKV<>91B78D70A7D9F27B04D1C092E2CEA989<>49.212.134.22:7146<>http://jbbs.shitaraba.net/bbs/read.cgi/game/52911/1380799834/l50<>18x<>h265/HEVC - &lt;Open&gt;<>0<>2<>708<>MKV<><><><><>%E3%83%87%E3%83%A2%E3%82%BF_MKV<>2:41<>click<>視聴方法は&gt;&gt;284参照<>1
まさおch<>90B5563676971D521F15BFC67AE54068<>203.135.197.233:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/radio/8176/1410534963/<>Game<>GGXrd PS3 凸歓迎 - &lt;Free&gt;<>11<>11<>1269<>WMV<><><><><>%E3%81%BE%E3%81%95%E3%81%8Ach<>2:44<>click<><>0
58_FLV<>C602E7709374FACBED417FF3EBA9DA97<>49.212.134.22:7146<>http://jbbs.shitaraba.net/bbs/read.cgi/game/52911/1417931324/l10<>18x<>体験版 - &lt;Open&gt;<>5<>7<>1496<>FLV<><><><><>58_FLV<>2:47<>click<><>0
デモンズ太郎<>38227FAF71E8490459F34B37D2BF8260<>27.87.204.106:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/internet/15742/1416923614/<>PS3<>ダークソウルⅡ - &lt;Free&gt;<>49<>48<>850<>WMV<><><><><>%E3%83%87%E3%83%A2%E3%83%B3%E3%82%BA%E5%A4%AA%E9%83%8E<>2:48<>click<>慰めの侵入 マイクロフォンあり<>0
みるく㈲<>A525A787D588CE0DD6C08BEFE59DAE46<>110.4.229.142:7200<>http://jbbs.shitaraba.net/netgame/3288/<>FPS<>L4D2 - &lt;Free&gt;<>109<>145<>1400<>FLV<><><><><>%E3%81%BF%E3%82%8B%E3%81%8F%E3%88%B2<>2:49<>click<>ジェム厨<>0
飛翔兎ch<>956B630840D896287AF23AAFE9BC5B0A<>180.62.35.157:7144<>http://jbbs.shitaraba.net/radio/28829/<><>BL - ウル4Ω GGXrd - &lt;Open&gt;<>135<>174<>1328<>FLV<><><><><>%E9%A3%9B%E7%BF%94%E5%85%8Ech<>2:50<>click<>永久<>1
〈:)_,` /tonkatu<>68464269C495FA6EC21FB16D724B198A<>118.240.19.39:7144<>http://lonsdaleite.jp/stream_player/#tonkatu2949/<>PS3<>ダークソウル2 - &lt;Free&gt;<>22<>25<>1000<>FLV<><><><><>%E3%80%88%3A%29_%2C%60+%2Ftonkatu<>2:50<>click<>でも侵入やめられないんだけど<>0
アルジマ<>90A51C7BC87288E3A07453597257FA75<>121.167.234.105:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/radio/18689/1416035217/514-<>Game<>ポケットモンスターAS - &lt;Free&gt;<>-1<>-1<>673<>WMV<><><><><>%E3%82%A2%E3%83%AB%E3%82%B8%E3%83%9E<>2:50<>click<>シリーズ初心者<>0
わくらばch<>8832D4962E13F3E6BC0E1A7AE5778D15<>202.212.92.169:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/game/54941/1418726215/<>PS3<>はじめの一歩 - &lt;Open&gt;<>114<>160<>1101<>WMV<><><><><>%E3%82%8F%E3%81%8F%E3%82%89%E3%81%B0ch<>2:55<>click<>固まったら終了<>0
某あろえ<>8A29DAD22665B3039ED05E8861EFB6EB<>157.65.56.92:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/internet/7825/1418302785/<>PC-GAME<>AVA - &lt;Open&gt;<>-1<>-1<>1080<>FLV<><><><><>%E6%9F%90%E3%81%82%E3%82%8D%E3%81%88<>2:57<>click<>ほぼ初心者、新キーボードG910を試す！<>0
ぴーちちゃんねる<>90088A77C153BE364A042A7BEA6E6EB2<>126.60.250.147:7144<>http://jbbs.shitaraba.net/game/47784/<>MHF<>&lt;Free&gt;<>-1<>-1<>758<>WMV<><><><><>%E3%81%B4%E3%83%BC%E3%81%A1%E3%81%A1%E3%82%83%E3%82%93%E3%81%AD%E3%82%8B<>2:59<>click<>ドラ10俺は25日までやる事ない　俺は！な　お前らは山程あるやろ<>0
ギャスた<>9072F8547B4469B50C970EAAE836B54E<>153.219.105.124:7144<>http://jbbs.shitaraba.net/game/53123/<>ps4<>gta5 - &lt;Free&gt;<>32<>34<>1076<>WMV<><><><><>%E3%82%AE%E3%83%A3%E3%82%B9%E3%81%9F<>3:00<>click<><>1
しもる<>42A05390792B274868975E46A20C8D40<>60.39.152.246:7146<>http://jbbs.shitaraba.net/bbs/read.cgi/game/51629/1418227506/652n-<>game civ4<>天帝フラクタル ランダム指導者再生成無し - &lt;Over&gt;<>59<>62<>925<>FLV<><><><><>%E3%81%97%E3%82%82%E3%82%8B<>3:01<>click<>出されたものは全部食べていくスタイル。上り調子のときこそ慎重にの巻<>0
金平糖<>9DF8C121ED77AA6BED77F736E9E649A4<>119.245.94.104:7144<>http://jbbs.livedoor.jp/radio/16086/<>game<>PSP ユグドラユニオン - &lt;Over&gt;<>-1<>-1<>774<>WMV<><><><><>%E9%87%91%E5%B9%B3%E7%B3%96<>3:02<>click<><>0
なる<>10F934FEE7FAB535E91B3B1C5F44FAEC<>118.109.194.52:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/otaku/15519/1418136296/<>プログラミング<>心頭滅却すれば寒い - &lt;Free&gt;<>35<>37<>999<>WMV<><><><><>%E3%81%AA%E3%82%8B<>3:05<>click<><>0
パプーゲーム<>5CA2ACDEBDC307DDEDA8C4977C28EE55<>118.109.204.159:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/game/40995/1415978436/l50<>Game<>パプーFX - &lt;Free&gt;<>15<>18<>392<>WMV<><><><><>%E3%83%91%E3%83%97%E3%83%BC%E3%82%B2%E3%83%BC%E3%83%A0<>3:15<>click<>本日の予想募集中。 預言者が現れるまでsimcity2000。<>1
アリケーノ<>C286671BC435E68D749FB43A664C3DFA<>121.110.50.48:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/radio/14340/1411387363/<>game<>WiiU スマブラ - &lt;Free&gt;<>-1<>-1<>494<>WMV<><><><><>%E3%82%A2%E3%83%AA%E3%82%B1%E3%83%BC%E3%83%8E<>3:16<>click<>糞画質<>0
めがまり<>9EF549F9AE65666E32DECA09B2382AC4<>116.81.205.233:7144<>http://jbbs.shitaraba.net/game/56025/<>Game<>FF14 - &lt;Open&gt;<>-1<>-1<>1277<>WMV<><><><><>%E3%82%81%E3%81%8C%E3%81%BE%E3%82%8A<>3:17<>click<>マンドラ鯖<>0
ﾌｧﾙﾅch<>F4AED09D6E538025AE75FB4AC2DA488B<>153.218.125.89:7144<>http://jbbs.livedoor.jp/game/40978/<>Game<>アスカ - &lt;Free&gt;<>36<>43<>524<>WMV<><><><><>%EF%BE%8C%EF%BD%A7%EF%BE%99%EF%BE%85ch<>3:22<>click<>ただの低層裏<>0
儲<>96476675301221F59D6CD6CB15CE96D9<>126.88.62.242:7144<>http://jbbs.shitaraba.net/bbs/read.cgi/game/57882/1418652103/<>Game<>ノブヤボ創造PKが神ゲーで時間泥棒すぎる件 - &lt;Open&gt;<>-1<>-1<>774<>WMV<>信長の野望創造PK 信長誕生 北条<><><><>%E5%84%B2<>3:31<>click<><>0
DBRK<>5EFE1AEDC807C4B310C56F6D9C274184<>221.247.32.19:7144<>http://jbbs.shitaraba.net/netgame/11990/<>ゲーム　Dota2<>酒 身内でクソゲー３on - &lt;Free&gt;<>5<>7<>1528<>FLV<><><><><>DBRK<>3:33<>click<><>0
syu11<>22224A353D208FA1DE1A7648692259E6<>118.157.61.178:7144<>http://jbbs.shitaraba.net/netgame/3893/<>PS3<>バイオハザード - &lt;Open&gt;<>39<>39<>1061<>WMV<><><><><>syu11<>3:35<>click<><>0
西門<>147899FD2D205FA306F06452B81C0FE7<>101.143.104.19:7144<>http://jbbs.shitaraba.net/internet/5225/<>PS4<>GGxrd - &lt;Free&gt;<>52<>56<>1343<>WMV<><><><><>%E8%A5%BF%E9%96%80<>3:37<>click<>初心者です 誰か対戦しましょう<>0
野槌ch<>D85CCDDD0428C89BD553A50377DB6426<>61.89.14.205:7144<>http://jbbs.shitaraba.net/game/53283/<>3DS<>MH4G - &lt;Open&gt;<>41<>51<>835<>FLV<><><><><>%E9%87%8E%E6%A7%8Cch<>3:38<>click<>イビラレジョー<>1
AtoM<>32F09EAD9D6FD895B0F3CF767C76AEDB<>218.221.107.141:7144<>http://jbbs.shitaraba.net/game/58328/<>PS3<>ばーちゃ - &lt;Open&gt;<>144<>138<>875<>WMV<><><><><>AtoM<>3:40<>click<>Peca年忘れVF大会（仮）参加者募集中（12/28）<>0
にっしch<>907423B9FF9B6E28B6CB946655BCE51C<>118.18.168.11:7146<>http://jbbs.livedoor.jp/bbs/read.cgi/game/48976/1417878657/<>Game<>VF5FS(PS3) - &lt;Open&gt;<>21<>24<>842<>WMV<><><><><>%E3%81%AB%E3%81%A3%E3%81%97ch<>3:42<>click<><>0
robo<>0102C330344FE3513284201CBC7E4E5B<>115.124.173.180:7144<>http://jbbs.livedoor.jp/radio/29218/<>Game<>他　短時間 - &lt;Free&gt;<>-1<>-1<>884<>WMV<><><><><>robo<>3:48<>click<><>1
Pok ch<>F701C11C509167559A064BBC3009144A<>113.153.64.121:8145<>http://jbbs.shitaraba.net/game/45894/<>game<>PC Euro Truck Simulator 2 - &lt;Open&gt;<>32<>35<>1061<>WMV<><><><><>Pok+ch<>3:49<>click<>何かを衝動買いしたい気分<>0
